City_ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date (Unix)
380,itoman,JP,26.1247,127.6694,73.42,64,75,8.05,1635017659
381,bansko,BG,41.8383,23.4885,51.96,91,61,1.72,1635017660
382,sao joao da barra,BR,-21.6403,-41.0511,77.09,82,14,17.11,1635017660
383,gwadar,PK,25.1216,62.3254,78.6,67,0,2.64,1635017661
384,akom,CM,2.6678,12.7109,67.8,96,14,2.75,1635017662
385,belyy yar,RU,53.6039,91.3903,40.89,60,0,6.71,1635017663
386,correntina,BR,-13.3433,-44.6367,76.82,71,100,5.21,1635017664
387,zhigansk,RU,66.7697,123.3711,21.51,94,100,18.03,1635017665
388,great bend,US,38.3645,-98.7648,80.89,60,75,7,1635017649
389,antalaha,MG,-14.9003,50.2788,74.26,93,77,1.43,1635017667
390,jacqueville,CI,5.2052,-4.4146,80.51,83,89,9.89,1635017667
391,kudeyevskiy,RU,54.8758,56.7567,42.03,85,42,7.74,1635017668
392,mangai,CD,-4.05,19.5333,72.28,90,44,1.68,1635017669
393,fairbanks,US,64.8378,-147.7164,36.3,86,1,0,1635017519
394,pangody,RU,65.85,74.4859,32.38,98,100,11.21,1635017670
395,fortuna,US,40.5982,-124.1573,60.85,78,90,5.01,1635017671
396,loandjili,CG,-4.7561,11.8578,78.12,85,93,6.87,1635017672
397,san carlos de bariloche,AR,-41.1456,-71.3082,53.35,47,40,31.07,1635017612
398,broome,US,42.2506,-75.833,49.37,75,90,1.01,1635017673
399,mangla,PK,31.8931,72.3817,64.83,75,0,14.32,1635017674
400,melbu,NO,68.5044,14.8297,37.31,83,100,4.23,1635017675
401,oranjestad,AW,12.524,-70.027,89.55,62,20,25.32,1635017676
402,whitehorse,CA,60.7161,-135.0538,41.02,64,75,8.99,1635017531
403,shimoda,JP,34.6667,138.95,52.11,67,100,10.02,1635017678
404,chapada dos guimaraes,BR,-15.4606,-55.7497,91.06,40,56,12.62,1635017678
405,college,US,64.8569,-147.8028,36.28,84,75,0,1635017680
406,lavras,BR,-21.2453,-44.9997,79.7,46,56,6.67,1635017681
407,vila velha,BR,-20.3297,-40.2925,78.75,69,40,14.97,1635017508
408,chalisgaon,IN,20.4667,75.0167,71.69,64,11,2.21,1635017682
409,ayan,RU,56.45,138.1667,38.25,71,2,6.51,1635017683
410,nuevo progreso,MX,23.1667,-97.95,88.59,60,65,8.01,1635017684
411,shagonar,RU,51.5333,92.8,35.28,87,95,2.17,1635017684
412,pangkalanbuun,ID,-2.6833,111.6167,73.58,98,100,1.61,1635017686
413,port blair,IN,11.6667,92.75,79,82,96,4.12,1635017687
414,kaeo,NZ,-35.1,173.7833,62.33,98,100,10.36,1635017688
415,abalak,RU,58.1286,68.5944,42.17,75,13,13.89,1635017689
416,belmonte,BR,-15.8631,-38.8828,77.5,91,100,9.84,1635017690
417,ellisras,ZA,-23.6649,27.7443,82.96,10,0,13.69,1635017690
418,datong,CN,40.0936,113.2914,42.69,51,66,3.06,1635017691
419,broken hill,AU,-31.95,141.4333,49.71,66,0,13.8,1635017692
420,umm bab,QA,25.2142,50.8072,76.68,57,0,11.1,1635017693
421,mglin,RU,53.0591,32.8475,42.93,65,99,12.8,1635017694
422,bengkulu,ID,-3.8004,102.2655,76.06,89,69,3.62,1635017608
423,sindor,RU,62.8629,51.8905,30.06,77,87,5.35,1635017695
424,plyussa,RU,58.4308,29.3654,37.53,81,99,10.13,1635017696
425,turkistan,KZ,43,68,48.38,39,7,10.98,1635017696
426,diamantina,BR,-18.2494,-43.6003,69.98,69,45,7.14,1635017697
427,kurilsk,RU,45.2333,147.8833,45.23,64,62,14.76,1635017698
428,rivadavia,AR,-33.1905,-68.4608,72.07,17,0,9.04,1635017624
429,la libertad,EC,-2.2333,-80.9,76.66,73,75,9.22,1635017699
430,el limon,VE,10.3059,-67.6321,80.64,68,76,4.16,1635017701
431,upington,ZA,-28.4478,21.2561,59.38,58,4,3.44,1635017670
432,belaya gora,RU,68.5333,146.4167,-6.95,92,99,4.34,1635017703
433,kainan,JP,34.15,135.2,53.64,68,24,7.18,1635017704
434,sinjar,IQ,36.3209,41.8754,67.64,18,0,10.4,1635017705
435,baculin,PH,7.4525,126.5842,78.31,83,100,5.41,1635017706
436,ketchikan,US,55.3422,-131.6461,43.27,93,90,10.36,1635017492
437,henties bay,NA,-22.116,14.2845,60.85,88,0,11.1,1635017708
438,dinard,FR,48.6314,-2.0614,56.01,77,0,3.44,1635017709
439,yerbogachen,RU,61.2767,108.0108,30.51,81,43,10.04,1635017710
440,goundi,TD,9.3627,17.366,78.69,69,67,4.85,1635017710
441,nizhniy kuranakh,RU,58.8353,125.4869,32.34,87,100,5.1,1635017711
442,los llanos de aridane,ES,28.6585,-17.9182,66.13,74,75,5.99,1635017712
443,abu zabad,SD,12.35,29.25,86.85,37,42,3.29,1635017713
444,morondava,MG,-20.2833,44.2833,72.5,73,0,3.24,1635017714
445,korla,CN,41.7597,86.1469,52.83,34,100,4.36,1635017714
446,along,IN,28.1667,94.7667,63.28,88,14,1.83,1635017715
447,qitaihe,CN,45.8,130.85,38.3,55,0,4.72,1635017716
448,tarko-sale,RU,64.9225,77.785,33.06,99,100,14.99,1635017717
449,gravdal,NO,68.1214,13.5031,39.47,50,100,1.9,1635017718
450,pierre,US,44.3683,-100.351,54.05,50,1,7,1635017720
451,kilindoni,TZ,-7.9139,39.6668,78.03,77,5,12.64,1635017720
452,san onofre,CO,9.7359,-75.5263,84.09,75,95,9.24,1635017721
453,selma,US,36.5708,-119.6121,69.71,55,7,7.78,1635017723
454,palauig,PH,15.435,119.9045,79.7,75,91,5.14,1635017723
455,bonthe,SL,7.5264,-12.505,79.39,82,100,4.79,1635017724
456,omboue,GA,-1.5746,9.2618,76.06,88,96,5.35,1635017725
457,bilibino,RU,68.0546,166.4372,-7.74,100,98,1.01,1635017726
458,crotone,IT,39.0851,17.1178,68.09,88,99,3.22,1635017518
459,wenling,CN,28.3669,121.36,61.92,79,100,9.15,1635017727
460,athenry,IE,53.2964,-8.7431,55.04,93,100,18.72,1635017729
461,lorengau,PG,-2.0226,147.2712,80.82,81,44,9.31,1635017730
462,taihe,CN,30.8712,105.3845,58.87,82,100,0.76,1635017731
463,amga,RU,60.8953,131.9608,21.61,98,100,2.68,1635017732
464,ambilobe,MG,-13.2,49.05,75.76,85,5,3.62,1635017733
465,udachnyy,RU,66.4167,112.4,24.06,85,58,17.6,1635017734
466,arlit,NE,18.7369,7.3853,89.22,11,4,7.76,1635017735
467,port lincoln,AU,-34.7333,135.8667,53.01,79,1,9.42,1635017736
468,barpali,IN,21.2,83.5833,67.91,72,2,1.3,1635017736
469,harrison,US,30.4091,-89.0436,84.31,61,1,10.36,1635017737
470,turbat,PK,26.0023,63.044,75.24,8,0,7.25,1635017738
471,qandala,SO,11.472,49.8728,80.15,61,45,4.7,1635017739
472,assiniboia,CA,49.6334,-105.9845,42.71,60,100,17.27,1635017740
473,kabale,UG,-1.2486,29.9899,60.55,89,100,1.21,1635017741
474,nadym,RU,65.5333,72.5167,34.36,88,100,15.21,1635017742
475,laguna,US,38.421,-121.4238,67.21,70,90,1.99,1635017743
476,qeshm,IR,26.9581,56.2719,78.67,64,0,7.76,1635017744
477,ewa beach,US,21.3156,-158.0072,82.35,56,1,11.5,1635017620
478,ponta delgada,PT,37.7333,-25.6667,68.72,73,20,4.61,1635017745
479,vineland,US,39.4862,-75.0257,65.62,61,40,8.05,1635017746
480,oussouye,SN,12.485,-16.5469,86.18,59,37,4.5,1635017747
481,tenkodogo,BF,11.78,-0.3697,83.55,56,100,8.55,1635017748
482,boali,CF,4.8005,18.1275,72.39,95,84,2.01,1635017749
483,nanortalik,GL,60.1432,-45.2371,35.8,73,38,3.09,1635017750
484,ilhabela,BR,-23.7781,-45.3581,73.15,84,0,8.86,1635017751
485,padang,ID,-0.9492,100.3543,76.53,90,95,2.89,1635017751
486,peleduy,RU,59.6289,112.7406,35.2,89,100,9.48,1635017752
487,paracatu,BR,-17.2222,-46.8747,88.97,33,31,7.58,1635017753
488,nome,US,64.5011,-165.4064,30.27,75,1,4.61,1635017754
489,kalmunai,LK,7.4167,81.8167,78.66,82,37,5.08,1635017755
490,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,27.19,100,75,2.24,1635017755
491,pryazha,RU,61.6926,33.6216,34.83,88,100,8.52,1635017756
492,smithers,CA,54.7804,-127.1743,48.52,66,75,8.05,1635017757
493,luderitz,NA,-26.6481,15.1594,58.46,73,0,18.92,1635017758
494,waitati,NZ,-45.75,170.5667,53.8,80,100,6.64,1635017758
495,aligarh,IN,27.8833,78.0833,72.75,58,0,3.11,1635017759
496,ternate,ID,0.8,127.4,79.86,79,54,4.25,1635017760
497,hazel park,US,42.4625,-83.1041,55.33,62,90,1.01,1635017473
498,mareeba,AU,-17,145.4333,68.72,97,55,2.62,1635017761
499,erenhot,CN,43.6475,111.9767,42.82,37,0,6.53,1635017763
500,cayenne,GF,4.9333,-52.3333,77.09,87,90,1.99,1635017764
501,lufilufi,WS,-13.8745,-171.5986,82.18,68,97,16.75,1635017765
502,ucluelet,CA,48.9329,-125.5528,53.91,91,95,1.01,1635017663
503,visnes,NO,59.3556,5.2242,48.81,76,75,16.11,1635017766
504,rieti,IT,42.4072,12.8592,60.66,100,100,14.97,1635017767
505,roald,NO,62.5833,6.1333,46.09,76,40,17.27,1635017768
506,vieux-habitants,GP,16.0589,-61.7659,85.71,62,8,11.7,1635017769
